data_collected,sample_ID,bioreactor_ID,influent_id,NOx_conc,NO2_conc,NO3_conc,Ammonia_ammonia_conc,DRP_conc,TOC_conc,pH,DO_conc
1/28/25,WC,4,1,30.395,0.0485,30.3465,0.0577,,5.793,,
1/28/25,WC,5,1,28.478,0.2817,28.1963,0.0318,,6.752,,
1/28/25,WC,6,1,30.542,0.0286,30.5134,0.0561,,4.883,,
1/28/25,INF,NA,1,32.197,ND,32.197,0.0174,,0.4156,,
1/30/25,WC,4,3,28.388,0.0738,28.3142,0.1193,,5.311,,
1/30/25,WC,5,3,26.608,0.2151,26.3929,0.031,,7.597,,
1/30/25,WC,6,3,29.438,0.0249,29.4131,0.1681,,7.579,,
1/30/25,INF,NA,3,29.679,ND,29.679,0.0129,,0.3216,,
1/31/25,WC,4,4,27.12,0.0638,27.0562,0.0623,,5.456,,
1/31/25,WC,5,4,26.422,0.205,26.217,0.0371,,5.372,,
1/31/25,WC,6,4,27.581,0.0299,27.5511,0.1523,,4.64,,
1/31/25,INF,NA,4,30.482,ND,30.482,0.0141,,ND,,
2/4/25,WC,4,8,25.188,0.0367,25.1513,0.0526,,7.044,,
2/4/25,WC,5,8,26.519,0.1279,26.3911,0.0675,,5.874,,
2/4/25,WC,6,8,27.729,0.0264,27.7026,0.108,,6.195,,
2/4/25,INF,NA,8,29.484,ND,29.484,0.0163,,ND,,
2/5/25,WC,4,9,23.813,0.0576,23.7554,0.0804,,7.893,,
2/5/25,WC,5,9,25.326,0.1457,25.1803,0.0622,,5.77,,
2/5/25,WC,6,9,26.822,0.0398,26.7822,0.0436,,4.15,,
2/5/25,INF,NA,9,30.943,ND,30.943,0.0168,,ND,,
2/7/25,WC,4,11,24.22,0.0844,24.1356,0.0621,,7.828,,
2/7/25,WC,5,11,26.308,0.1618,26.1462,0.0648,,6.089,,
2/7/25,WC,6,11,27.34,0.041,27.299,0.0688,,5.446,,
2/7/25,INF,NA,11,29.439,ND,29.439,0.0099,,ND,,
2/10/25,WC,4,14,24.036,0.1343,23.902,0.0695,,6.95,,
2/10/25,WC,5,14,25.014,0.2131,24.801,0.126,,6.923,,
2/10/25,WC,6,14,27.393,0.0577,27.336,0.0542,,4.875,,
2/10/25,INF,NA,14,30.355,0.0016,30.353,0.0113,,ND,,
2/13/25,WC,4,17,26.237,0.1662,26.0708,0.0456,,8.137,,
2/13/25,WC,5,17,26.297,0.2294,26.0676,0.112,,8.061,,
2/13/25,WC,6,17,27.492,0.0456,27.4464,0.0981,,5.125,,
2/13/25,INF,NA,17,32.769,0.0008,32.7682,0.0113,,ND,,
2/14/25,WC,4,18,23.142,0.2263,22.9157,0.1192,,8.984,,
2/14/25,WC,5,18,24.072,0.165,23.907,0.0387,,7.587,,
2/14/25,WC,6,18,26.563,0.0442,26.5188,0.0897,,5.218,,
2/14/25,INF,NA,18,30.769,ND,30.769,0.016,,ND,,
2/17/25,WC,4,21,12.857,0.0424,12.8146,0.1005,,19.64,,
2/17/25,WC,5,21,26.84,0.2659,26.5741,0.0972,,7.404,,
2/17/25,WC,6,21,22.59,0.0402,22.5498,0.0966,,10.3,,
2/17/25,INF,NA,21,32.05,0.0006,32.0494,0.0164,,ND,,
4/2/25,CC,1,2,33.514,1.1657,32.3483,0.0195,,3.886,,
4/2/25,CC,2,2,27.691,0.0819,27.609,0.0256,,7.502,,
4/2/25,CC,3,2,27.732,3.1197,24.6123,0.01,,9.101,,
4/2/25,INF,NA,2,31.609,0.0105,31.599,ND,,ND,,
4/3/25,CC,1,3,28.547,0.7618,27.785,0.0662,,4.314,,
4/3/25,CC,2,3,25.26,1.7557,23.5043,0.0368,,7.513,,
4/3/25,CC,3,3,25.97,0.1037,25.866,0.0492,,6.545,,
4/3/25,INF,NA,3,30.179,0.0018,30.178,ND,,ND,,
4/4/25,CC,1,4,28.315,0.3538,27.961,0.2876,,5.353,,
4/4/25,CC,2,4,26.816,0.1394,26.676,0.1819,,8.329,,
4/4/25,CC,3,4,26.308,0.8605,25.4475,0.0721,,6.984,,
4/4/25,INF,NA,4,32.598,0.0055,32.593,ND,,0.6277,,
4/7/25,CC,1,7,27.097,0.2882,26.809,0.2182,,6.142,,
4/7/25,CC,2,7,26.897,0.3164,26.581,0.0523,,6.564,,
4/7/25,CC,3,7,26.868,0.6757,26.193,0.1186,,7.45,,
4/7/25,INF,NA,7,33.479,0.0802,33.399,0.0044,,ND,,
4/9/25,CC,1,9,27.941,0.2027,27.738,0.1297,,5.333,,
4/9/25,CC,2,9,28.47,0.2488,28.221,0.03,,5.981,,
4/9/25,CC,3,9,26.883,0.5916,26.291,0.0551,,6.091,,
4/9/25,INF,NA,9,30.986,0.0105,30.976,ND,,ND,,
4/11/25,CC,1,11,28.508,0.1914,28.316,0.0823,,3.744,,
4/11/25,CC,2,11,28.768,0.274,28.494,0.0122,,5.09,,
4/11/25,CC,3,11,26.81,0.7493,26.06,0.041,,5.879,,
4/11/25,INF,NA,11,31.317,0.0056,31.311,ND,,ND,,
4/14/25,CC,1,14,30.027,0.2192,29.808,0.0379,,3.632,,
4/14/25,CC,2,14,28.05,0.3032,27.746,0.0129,,4.966,,
4/14/25,CC,3,14,26.752,0.8249,25.9271,0.0397,,5.991,,
4/14/25,INF,NA,14,30.006,0.0042,30.001,ND,,ND,,
4/16/25,CC,1,16,28.312,0.2723,28.04,0.0784,,3,,
4/16/25,CC,2,16,29.247,0.4178,28.83,0.0904,,4.187,,
4/16/25,CC,3,16,26.616,0.9397,25.6763,0.2043,,5.317,,
4/16/25,INF,NA,16,30.461,0.0049,30.456,ND,,ND,,
4/18/25,CC,1,18,29.62,0.2825,29.337,0.05,,3.289,,
4/18/25,CC,2,18,29.423,0.494,28.929,0.2053,,4.506,,
4/18/25,CC,3,18,26.302,0.9761,25.3259,0.4216,,6.904,,
4/18/25,INF,NA,18,31.72,0.0044,31.715,0.0077,,ND,,
4/21/25,CC,1,21,29.815,0.3568,29.458,0.0682,,2.867,,
4/21/25,CC,2,21,29.145,0.6811,28.464,0.2335,,4.912,,
4/21/25,CC,3,21,24.817,1.6895,23.1275,0.531,,12.27,,
4/21/25,INF,NA,21,32.334,0.0072,32.327,0.0171,,ND,,